date,eoa_holders,total_kub,native_kub,kkub,median_kub,average_kub,top10_share_pct,top100_share_pct
2026-06-27,9825,9533702.97,7911594.69,1622108.29,4.9089,970.35,77.28,93.56
2026-06-28,9906,9617008.07,7911594.69,1705413.39,4.9738,970.83,76.61,92.72
2026-06-29,9923,9633875.87,7911594.69,1722281.18,4.9786,970.86,76.48,92.52
2026-06-30,9934,9638259.49,7918482.56,1719776.93,4.9826,970.23,76.46,92.29
2026-07-01,9939,9619395.01,7895159.3,1724235.72,4.9826,967.84,76.61,92.2
2026-07-02,9939,9660578.52,7895128.98,1765449.54,4.9818,971.99,76.29,92.22
2026-07-03,9942,9682522.92,7889268.75,1793254.16,4.9814,973.9,76.09,92.18
2026-07-04,9944,9677318.53,7888965.53,1788352.99,4.9786,973.18,76.13,92.23
2026-07-05,9945,9633064.4,7888542.12,1744522.29,4.9804,968.63,76.48,92.27
2026-07-06,9948,9657645.84,7884667.24,1772978.6,4.9804,970.81,76.29,92.25
2026-07-07,9949,9671662.24,7890152.89,1781509.35,4.9818,972.12,76.18,92.21
2026-07-08,9950,9543734.52,7876998.21,1666736.31,4.9804,959.17,77.2,92.52
2026-07-09,9924,9414812.65,7873021.96,1541790.69,4.9699,948.69,78.25,93.33
2026-07-10,9916,9372035.28,7872834.94,1499200.34,4.9673,945.14,78.61,93.64
2026-07-12,9860,9219279.0,7873269.16,1346009.83,4.8763,935.02,79.91,94.77
2026-07-14,9861,9164929.45,7866734.01,1298195.44,4.8695,929.41,80.38,95.07
2026-07-16,9866,9142873.72,7853418.78,1289454.94,4.8692,926.71,80.57,95.14
2026-07-17,9872,9134811.77,7853426.25,1281385.52,4.8661,925.33,80.64,95.16
2026-07-18,9871,9144251.82,7852340.49,1291911.33,4.8763,926.38,80.56,95.14
2026-07-19,9878,9152459.81,7856829.4,1295630.4,4.8692,926.55,80.53,95.13
2026-07-20,9870,9145431.24,7856913.84,1288517.4,4.8338,926.59,80.6,95.18
